puzzleid,red_list,green_list,blue_list,stars
12629,16,0,79,2
12628,12,0,38,12
12627,81,4,2,38
12626,2,2,42,7
12625,18,2,50,69
12624,4,21,86,110
12623,5,39,60,1
12622,0,90,90,8
12621,0,0,5,4
12620,28,6,6,9
12619,3,3,3,4
12618,6,18,48,18
12617,38,35,21,74
12616,5,5,78,87
12615,0,2,110,79
12614,37,5,6,32
12613,72,9,27,62
12612,0,1,33,2
12611,1,18,66,84
12610,2,6,4,4
12609,3,8,38,48
12608,39,12,24,23
12607,107,15,14,89
12606,8,60,49,116
12605,0,21,67,87
12604,2,7,60,1
12603,1,8,56,64
12602,4,4,16,2
12601,11,24,58,91
12600,10,20,44,73
12599,2,6,44,24
12598,0,6,52,57
12597,4,4,132,139
12596,11,9,86,1
12595,7,7,84,97
12594,1,0,13,2
12593,22,12,105,138
12592,30,52,74,155
12591,32,6,70,1
12590,9,3,69,40
12589,1,22,11,22
12588,18,6,84,1
12587,11,55,35,100
12586,20,1,85,105
12585,1,23,11,23
12584,0,0,31,2
12583,0,0,31,2
12582,39,10,11,9
12581,6,8,18,3
12580,1,66,0,11
12579,0,34,18,51
12578,0,32,12,43
12577,40,16,26,81
12576,20,6,105,129
12575,36,41,32,108
12574,0,9,70,9
12573,9,4,41,23
12572,9,5,63,2
12571,19,3,3,4
12570,36,41,32,4
12569,2,0,171,172
12568,1,6,92,98
12567,9,4,5,17
12566,10,8,105,122
12565,18,120,6,143
12564,1,0,9,2
12563,10,29,2,2
12562,21,22,23,1
12561,1,0,21,1
12560,4,2,5,2
12559,12,0,1,4
12558,0,3,54,56
12557,7,6,40,52
12556,10,11,24,44
12555,15,1,14,29
12554,2,1,65,67
12553,0,101,14,4
12552,3,1,183,186
12551,0,24,0,23
12550,4,4,92,99
12549,1,41,37,1
12548,7,5,67,1
12547,65,59,68,11
12546,64,60,68,11
12545,4,4,52,59
12544,8,32,62,101
12543,2,7,53,61
12542,8,49,0,36
12541,0,0,19,18
12540,4,60,0,63
12539,6,32,12,20
12538,12,10,121,20
12537,12,10,170,20
12536,1,13,90,103
12535,1,3,51,54
12534,5,11,35,50
12532,5,7,76,87
12531,1,12,67,41
12530,8,0,55,62
12529,16,15,12,42
12528,5,10,0,9
12527,4,4,8,15
12526,1,0,18,5
12525,12,3,103,117
12524,7,28,66,63
12523,12,1,63,75
12522,0,13,77,77
12521,3,22,91,115
12520,6,6,78,89
12519,8,36,43,53
12518,10,12,61,82
12516,9,27,78,28
12515,7,5,0,2
12514,2,2,16,3
12513,3,1,12,2
12512,20,0,2,3
12511,0,18,0,4
12510,2,0,88,89
12509,37,0,70,106
12508,27,23,51,100
12507,12,0,95,2
12506,6,17,78,59
12505,34,6,68,73
12504,52,1,72,8
12503,0,11,70,80
12502,7,7,80,93
12501,12,8,82,65
12500,25,23,68,115
12499,11,33,7,4
12498,4,8,0,1
12497,7,49,73,64
12496,2,3,33,37
12495,0,16,0,1
12494,23,22,24,1
12493,18,14,27,14
12491,0,18,1,1
12490,2,16,76,93
12489,7,0,56,62
12488,0,16,55,1
12487,9,6,133,147
12486,11,0,127,137
12485,0,24,78,101
12484,0,12,87,53
12483,0,4,37,36
12482,0,9,77,85
12481,6,7,35,47
12480,2,5,10,12
12479,20,2,91,112
12477,39,33,35,24
12476,0,25,71,95
12475,0,5,66,16
12474,4,33,67,103
12473,16,0,84,99
12472,18,52,64,133
12471,14,6,98,117
12470,10,1,93,103
12469,0,16,92,1
12467,0,10,96,105
12466,22,6,117,144
12465,14,13,122,148
12464,48,96,48,50
12463,18,53,19,14
12462,0,0,23,4
12461,0,0,15,4
12460,2,11,37,49
12459,9,8,78,94
12457,6,10,87,102
12455,16,0,48,63
12454,54,0,85,126
12453,10,0,151,160
12452,2,0,88,38
12451,6,6,64,4
12450,10,12,108,129
12449,18,26,86,129
12448,11,10,80,88
12447,39,10,43,79
12446,10,0,23,10
12445,8,12,48,67
12444,0,7,98,104
12443,8,0,60,59
12442,6,0,114,6
12441,0,8,64,71
12440,11,2,105,117
12439,6,7,101,113
12438,8,1,87,95
12437,7,7,86,98
12436,42,6,34,81
12435,7,1,95,7
12434,37,7,5,48
12433,1,52,44,96
12432,0,25,92,116
12431,1,26,16,42
12430,0,5,52,40
12429,5,7,96,107
12428,0,35,68,102
12427,1,5,13,7
12425,1,0,84,84
12424,8,0,84,91
12423,10,9,17,3
12422,20,9,96,124
12421,2,2,48,12
12420,5,37,20,61
12419,0,0,4,1
12418,7,8,103,117
12417,35,19,69,122
12416,20,5,52,75
12414,1,3,8,4
12413,5,12,38,8
12412,12,7,83,7
12411,11,0,38,48
12410,6,0,73,78
12409,0,0,55,54
12408,6,43,58,1
12406,0,9,52,60
12405,23,46,47,115
12404,8,1,80,9
12403,4,5,60,4
12402,8,2,31,36
12401,11,0,96,48
12400,91,4,15,2
12399,8,22,138,167
12398,9,40,68,40
12397,26,9,0,3
12396,18,0,12,11
12395,44,97,51,7
12394,10,46,36,3
12393,10,46,36,3
12392,1,12,93,105
12391,6,24,71,100
12390,27,36,28,9
12389,85,20,14,3
12388,85,6,27,35
12387,18,22,55,18
12386,58,7,35,32
12385,26,16,30,24
12384,6,5,96,1
12383,20,12,38,17
12382,10,49,78,135
12381,5,21,15,40
12380,1,1,75,67
12379,23,1,71,7
12378,24,13,96,132
12377,7,7,95,52
12376,19,8,71,11
12375,21,2,75,5
12374,8,47,34,88
12373,3,8,73,83
12372,16,13,68,96
12371,1,0,175,64
12370,28,15,69,3
12369,8,20,51,1
12368,3,15,90,1
12367,4,9,113,125
12366,0,13,51,14
12365,7,1,93,100
12364,7,1,105,112
12363,18,7,43,25
12362,12,15,80,1
12361,6,13,90,38
12360,18,18,65,1
12359,2,0,119,120
12358,7,105,0,36
12357,16,12,83,31
12356,1,6,86,92
12355,15,23,59,1
12354,1,6,86,92
12353,1,6,86,92
12352,4,7,103,113
12351,4,0,114,117
12350,19,16,107,141
12349,7,7,94,93
12348,1,0,191,191
12347,11,10,117,137
12346,8,7,75,89
12345,0,40,33,72
12344,2,0,70,30
12343,4,0,92,95
12342,2,35,9,6
12341,26,39,21,84
12340,4,0,49,52
12339,10,7,69,85
12338,2,11,129,141
12337,0,7,83,1
11335,50,24,49,1
11334,12,13,97,121
11333,38,24,57,117
11332,12,4,112,127
11331,16,2,108,125
11330,0,28,61,1
11329,3,23,56,81
11328,39,57,39,39
11327,54,60,18,71
11326,38,26,2,7
11325,4,0,113,116
11323,12,11,109,75
11322,53,29,79,124
11320,28,21,131,12
11319,4,16,42,7
11318,3,2,110,114
11317,3,2,110,114
11316,11,8,54,36
11315,8,7,15,1
11314,2,58,40,20
11313,20,21,53,40
11312,17,17,64,97
11311,14,28,37,17
11310,1,3,44,1
11309,26,9,101,135
11308,95,1,0,87
11307,13,9,124,145
11306,4,17,109,129
11305,8,18,62,5
11304,2,33,87,54
11303,14,9,92,47
11302,14,14,67,94
11301,2,4,40,45
11300,24,29,55,7
11299,8,1,67,1
11298,12,12,96,119
11297,18,6,93,116
11296,7,9,82,41
11295,5,5,71,1
11294,18,12,95,28
11293,13,11,120,33
11292,0,23,88,110
11291,0,0,101,100
11290,26,22,66,113
11289,8,0,36,6
11288,4,0,45,20
11287,8,8,12,8
11286,16,4,92,111
11285,21,18,96,39
11284,7,1,63,70
11283,6,1,50,56
11282,0,0,41,9
11281,13,4,89,105
11280,2,56,65,122
11279,0,0,121,120
11278,16,16,62,93
11277,0,16,176,191
11276,1,0,71,47
11275,0,22,85,1
11274,1,2,48,50
11273,1,0,12,4
11272,49,11,1,60
11271,1,0,13,2
11270,4,5,110,118
11269,4,16,1,9
11268,8,5,0,1
11267,0,0,80,79
11266,24,0,57,80
11265,67,1,11,1
11264,4,51,35,1
11263,7,7,82,14
11262,22,33,40,94
11261,5,28,2,11
11260,12,2,2,2
11259,1,12,3,2
11258,20,2,0,1
11257,13,15,52,79
11256,15,8,16,38
11255,0,2,79,80
11254,3,14,58,74
11253,0,70,12,12
11252,11,1,73,84
11251,16,13,78,8
11250,0,33,47,1
11249,15,4,56,74
11248,25,6,52,82
11247,11,11,26,11
11246,1,9,36,6
11245,5,48,31,31
11244,0,30,63,1
11243,11,42,42,1
11242,0,16,61,76
11241,10,8,139,155
11240,35,31,31,1
11239,1,37,21,58
11238,19,24,4,46
11236,6,15,51,11
11234,15,25,62,40
11233,26,26,49,2
11232,8,9,79,8
11231,11,1,61,72
11230,8,6,82,95
11229,14,1,101,52
11228,8,8,8,8
11227,8,0,16,8
11226,0,0,24,8
11225,8,0,55,62
11224,10,1,74,83
11223,12,1,55,48
11222,4,1,168,172
11221,2,70,4,11
11220,0,0,78,51
11219,3,0,82,84
11218,1,0,36,28
11217,0,0,25,20
11216,0,0,64,63
11215,32,1,109,141
11214,13,1,54,48
11213,14,1,43,24
11212,4,16,38,41
11210,50,47,0,47
11209,91,8,3,47
11208,14,41,3,31
11207,0,0,8,1
11206,0,0,15,1
11205,0,0,13,1
11204,0,0,9,1
11203,0,0,9,1
11201,24,59,33,115
11200,13,22,63,34
11199,20,24,0,42
11198,12,33,0,24
11197,10,78,0,87
11196,35,22,26,82
11195,26,7,72,102
11194,23,1,158,181
11193,0,22,85,1
11192,6,2,7,4
11191,0,0,119,118
11184,0,0,60,59
11183,20,21,47,87
11182,63,33,16,111
11181,48,0,16,15
11180,0,0,76,75
11179,4,1,68,72
11178,3,0,34,35
11177,12,28,96,85
11176,2,34,48,83
11175,3,0,57,59
11174,10,0,32,10
11173,0,80,27,1
11172,0,20,44,63
11171,2,0,49,50
11170,7,1,105,85
11169,7,38,36,80
11168,0,45,57,101
11167,16,29,57,101
11166,14,1,32,46
11165,16,0,150,165
11164,0,1,11,1
11163,52,1,21,39
11162,4,4,88,16
11161,22,5,75,45
11160,21,2,61,32
11159,13,58,5,36
11158,25,1,55,17
11157,5,5,50,59
11156,3,11,17,3
11155,4,0,59,9
11154,0,0,55,54
11153,7,18,25,41
11152,1,0,51,51
11151,0,0,71,70
11150,0,0,65,64
11149,0,0,59,58
11148,0,0,24,20
11146,0,0,29,28
11145,0,0,63,62
11144,5,7,73,84
11143,1,1,31,32
11142,2,10,57,4
11141,0,0,81,80
11140,48,10,74,131
11139,34,22,31,59
11138,10,1,106,22
11136,18,4,39,17
11133,1,0,95,95
11132,1,9,44,12
11131,2,7,31,39
11130,9,9,85,15
11129,4,7,53,12
11128,0,1,58,58
11127,2,7,11,6
11126,36,29,0,64
11125,4,4,17,8
11124,3,0,8,1
11123,7,1,21,2
11122,3,0,34,1
11121,9,3,149,7
11120,5,7,36,2
11119,21,26,76,8
11118,9,10,173,9
11117,1,8,7,9
11116,2,2,4,4
11115,12,0,13,3
11114,4,12,42,5
11113,5,7,40,7
11111,16,10,40,10
11110,1,0,12,1
11109,74,6,4,29
11108,0,0,18,2
11107,6,6,1,6
11106,0,0,8,2
11105,4,6,2,2
11104,9,1,78,87
11103,36,29,45,64
11102,1,0,15,5
11101,8,4,16,4
11100,1,0,88,88
11099,1,0,75,75
11098,1,0,37,5
11096,20,8,40,9
11084,4,4,8,4
11083,4,4,9,12
11082,2,66,14,17
11081,2,2,9,2
11080,1,5,26,7
11079,16,18,7,16
11078,26,4,3,10
11077,33,36,38,12
11076,25,5,27,28
11075,1,3,21,3
11074,14,11,113,2
11073,0,9,17,4
11072,5,0,40,5
11071,7,23,77,22
11070,0,0,16,15
11069,1,95,1,42
11068,3,12,37,13
11067,11,8,17,4
11066,2,0,16,4
11065,3,2,16,1
11064,0,4,3,3
11063,7,1,34,7
11062,2,2,4,6
11061,40,1,5,45
11060,1,2,9,5
11059,1,2,9,5
11058,9,13,90,21
11057,1,1,54,5
11056,6,5,70,13
11055,2,7,165,1
11054,8,3,69,3
11053,10,19,52,30
11052,10,7,4,11
11051,1,0,75,75
11050,6,2,20,3
11049,0,5,20,10
11048,8,24,4,32
11047,0,5,8,1
11046,3,1,26,5
11045,8,1,41,1
11044,5,4,12,8
11043,4,7,36,6
11042,7,1,31,1
11041,10,2,8,10
11040,12,5,25,10
11039,4,4,32,8
11038,0,0,14,9
11037,6,108,7,14
11036,6,62,16,9
11035,3,5,45,7
11034,1,2,19,21
11033,4,12,7,10
11032,6,5,7,7
11031,25,11,0,15
11030,18,112,62,23
11029,7,0,9,2
11028,7,8,8,22
11027,1,0,4,2
11026,0,34,158,33
11025,8,13,18,7
11024,18,2,20,29
11023,1,2,19,18
11022,7,0,25,6
11021,6,4,4,10
11020,22,10,48,42
11019,3,4,20,5
11018,7,1,21,8
11017,2,3,17,3
11016,0,3,15,17
11015,3,2,19,3
11014,15,19,12,12
11013,40,4,67,4
11012,12,4,35,23
11011,4,4,8,11
11010,0,0,14,13
11009,7,2,17,4
11008,1,2,9,5
11007,1,2,49,50
11006,16,8,2,1
11004,8,52,4,1
11003,6,5,14,11
11002,5,30,70,13
11001,5,5,5,2
11000,9,10,44,1
10999,4,0,9,1
10998,0,1,7,1
10997,4,2,10,3
10996,0,0,23,22
10995,2,2,27,30
10994,2,11,55,1
10993,6,6,67,8
10992,3,4,82,1
10991,19,3,2,23
10990,0,15,12,26
10989,1,2,21,10
10988,10,6,111,123
10987,1,8,67,15
10986,12,8,84,103
10985,13,11,13,1
10984,10,1,56,2
10983,6,6,10,7
10981,6,12,4,12
10980,2,2,27,30
10979,12,31,67,8
10976,0,16,9,24
10975,20,14,9,8
10974,0,0,42,11
10973,0,0,8,4
10972,20,2,95,40
10971,1,2,19,21
10970,1,2,11,3
10969,3,62,3,6
10968,2,4,8,8
10967,1,0,7,2
10966,3,2,10,4
10965,5,3,10,4
10964,1,2,19,21
10963,0,0,14,4
10962,6,3,4,1
10961,3,1,20,6
10960,9,4,11,4
10959,1,5,26,4
10958,2,1,17,3
10957,18,1,8,14
10951,12,6,17,20
10950,0,14,24,13
10949,6,6,18,13
10948,3,3,17,3
10947,4,7,53,12
10946,13,24,38,38
10945,8,3,20,3
10944,12,23,133,13
10943,3,2,18,2
10942,2,8,29,4
10941,0,2,4,5
10940,0,0,6,5
10939,0,0,6,5
10938,0,0,8,5
10937,0,0,6,3
10936,3,2,2,3
10935,0,0,37,4
10934,26,5,5,25
10933,5,5,0,4
10932,1,6,26,23
10931,6,86,2,9
10930,18,15,112,23
10929,35,0,71,16
10928,4,6,4,8
10927,16,13,20,12
10926,28,26,76,129
10925,28,12,81,73
10924,7,1,40,2
10923,0,0,49,4
10922,8,1,51,1
10921,1,7,7,2
10920,29,41,30,17
10919,1,4,23,27
10918,28,4,29,56
10917,28,4,29,59
10916,15,12,62,1
10915,4,0,11,1
10914,3,3,9,1
10913,18,1,37,54
10912,18,1,37,54
10911,30,16,0,19
10910,29,2,19,18
10909,3,4,46,26
10908,0,0,23,1
10907,1,1,7,2
10906,0,0,26,1
10905,4,1,12,1
10904,4,0,3,1
10903,10,1,20,1
10902,9,6,9,4
10901,20,10,23,1
10900,9,0,15,1
10899,2,0,20,1
10898,1,17,14,1
10897,22,6,39,6
10896,3,2,5,4
10895,3,3,47,23
10893,1,18,44,62
10892,2,1,7,3
10891,4,0,100,103
10890,1,0,72,71
10889,21,26,76,8
10888,3,0,8,1
10887,2,1,20,5
10886,8,7,72,5
10881,1,3,25,16
10880,1,3,25,16
10879,0,0,30,4
10878,42,5,9,24
10877,8,6,26,4
10876,10,6,22,6
10875,1,0,19,1
10874,20,9,77,105
10873,19,2,35,55
10872,5,11,44,59
10871,2,10,37,14
10870,15,12,103,21
10869,1,2,12,4
10868,14,27,22,9
10867,0,23,110,109
10866,2,0,12,1
10865,4,25,7,6
10864,0,0,24,23
10863,8,16,8,11
10862,53,87,52,13
10861,0,90,36,35
10860,3,1,19,12
10859,0,0,36,5
10858,0,0,20,5
10857,12,7,71,15
10856,12,0,50,11
10855,30,22,2,45
10854,0,5,59,10
10853,1,12,49,61
10852,12,0,48,12
10851,3,20,6,6
10850,6,4,36,10
10849,8,6,33,14
10848,26,0,64,25
10847,5,0,43,1
10846,2,7,31,29
10845,2,35,3,2
10844,48,37,58,47
10843,16,0,43,1
10842,4,15,86,104
10841,0,35,72,1
10840,1,12,105,117
10839,0,11,49,59
10838,24,15,102,21
10837,0,12,17,12
10836,1,0,18,18
10835,6,7,179,13
10834,4,1,187,66
10833,8,3,13,1
10832,10,26,62,33
10831,11,4,5,5
10830,53,18,15,15
10829,2,4,30,10
10828,2,4,13,2
10827,8,0,41,16
10826,5,6,74,84
10825,40,76,22,26
10824,7,15,78,3
10823,6,6,90,101
10822,3,1,16,1
10821,11,4,63,77
10820,23,28,69,7
10819,0,1,21,11
10818,4,1,36,40
10817,4,2,29,1
10816,24,29,55,7
10815,0,0,6,1
10814,15,11,74,28
10813,14,8,26,1
10812,17,15,85,116
10811,6,0,21,6
10810,124,34,34,11
10809,3,24,1,1
10808,7,8,95,109
10807,0,0,22,5
10806,10,5,85,99
10805,7,29,29,1
10804,61,34,16,4
10803,0,3,11,3
10802,13,18,25,55
10801,30,0,65,1
10800,11,45,74,129
10799,22,0,102,31
10798,2,3,7,2
10797,0,32,49,10
10796,18,30,59,105
10795,0,0,117,88
10794,0,0,114,76
10793,44,2,45,36
10792,13,3,64,64
10791,9,1,81,36
10790,18,55,35,2
10789,4,0,128,83
10788,16,52,36,103
10787,8,1,71,44
10786,7,0,60,66
10785,1,0,76,76
10784,0,9,31,3
10783,10,11,69,89
10782,10,3,57,69
10781,12,4,49,64
10780,12,4,37,52
10779,12,68,41,120
10778,20,0,82,101
10777,0,0,96,95
10776,62,7,63,30
10775,46,5,56,106
10774,9,5,78,2
10773,16,20,16,51
10772,10,11,12,32
10771,8,10,70,1
10770,10,6,74,89
10769,36,0,33,8
10768,41,20,20,1
10767,132,44,16,20
10766,48,0,4,48
10765,7,1,107,114
10764,44,28,35,106
10763,17,6,153,13
10762,6,1,57,36
10761,60,2,81,142
10760,0,47,88,47
10759,1,0,27,4
10758,10,1,80,89
10757,24,29,28,80
10756,15,0,1,15
10755,13,16,56,38
10754,17,17,14,1
10753,16,26,66,5
10752,4,4,76,5
10751,3,1,55,58
10750,8,6,53,12
10749,8,0,56,63
10748,12,12,36,59
10747,15,1,57,72
10746,20,2,24,12
10745,20,2,24,12
10744,10,0,12,6
10743,11,0,85,1
10742,31,5,14,1
10741,77,0,24,100
10740,36,20,48,6
10739,62,0,84,4
10738,2,40,35,28
10737,1,6,78,1
10736,10,3,83,95
10735,2,8,83,34
10734,102,0,51,50
10733,34,0,74,106
10732,42,50,92,144
10731,36,72,72,119
10730,42,60,72,173
10729,62,16,62,36
10728,43,1,54,97
10727,17,3,110,129
10726,7,1,86,91
10725,15,16,98,58
10724,7,7,32,4
10723,9,16,64,88
10722,21,1,115,136
10721,12,20,44,43
10720,35,16,25,4
10719,7,10,16,9
10718,6,2,148,8
10717,9,3,14,2
10716,19,0,55,42
10715,5,6,23,1
10714,2,0,10,2
10713,13,59,5,2
10712,25,11,13,23
10711,158,22,11,1
10710,4,8,14,1
10709,7,9,12,2
10708,8,8,24,39
10707,46,8,6,27
10706,0,1,8,3
10705,6,1,71,1
10704,1,4,15,5
10703,7,15,10,1
10702,34,2,5,1
10701,0,7,64,11
10700,28,12,14,25
10699,74,8,5,2
10698,2,3,15,3
10697,0,4,16,19
10696,21,1,170,183
10695,1,8,183,23
10694,10,12,81,23
10693,6,10,1,4
10692,12,23,22,56
10690,42,0,52,52
10689,1,8,43,9
10688,72,85,35,21
10687,48,20,32,98
10686,0,4,96,99
10685,28,1,107,135
10684,0,0,10,1
10683,0,4,13,8
10682,18,82,10,109
10681,10,4,1,2
10680,1,0,53,42
10679,8,56,24,56
10678,0,0,92,91
10677,0,0,7,6
10676,0,0,7,3
10675,0,0,3,2
10674,16,12,13,8
10673,20,45,24,88
10672,0,0,88,87
10671,24,44,24,91
10670,32,4,0,6
10669,0,9,4,3
10668,1,10,28,6
10667,0,0,61,2
10666,4,4,18,9
10665,4,8,96,107
10664,0,0,65,5
10663,0,0,4,3
10662,0,0,6,3
10661,0,0,3,2
10660,0,0,3,2
10659,0,0,7,3
10658,14,0,73,15
10657,38,0,108,145
10656,13,15,95,56
10655,12,5,8,2
10654,14,69,109,3
10653,28,36,105,4
10652,7,6,14,6
10651,6,60,48,113
10650,12,25,12,48
10649,20,12,20,51
10648,76,7,61,143
10647,0,0,80,79
10646,8,0,98,105
10645,128,32,32,6
10644,12,5,47,63
10643,8,6,95,1
10642,15,38,66,2
10641,2,1,11,2
10640,11,12,82,104
10639,35,0,36,1
10638,55,48,31,3
10637,6,5,118,128
10636,0,22,146,12
10635,67,18,26,110
10634,40,8,1,8
10633,6,1,78,2
10632,3,7,86,1
10631,4,4,64,9
10630,4,4,64,9
10628,3,1,113,115
10627,3,1,113,116
10626,108,0,0,1
10625,8,13,12,32
10624,1,3,26,1
10623,53,12,73,126
10622,17,27,49,7
10621,18,20,32,7
10620,18,5,66,9
10619,18,20,31,6
10618,8,0,30,30
10617,20,0,60,79
10616,15,0,60,74
10615,20,0,61,80
10614,98,11,83,32
10613,9,3,65,76
10612,9,3,68,79
10611,19,11,45,12
10610,0,0,59,26
10609,0,0,65,39
10608,0,0,63,39
10607,0,0,69,43
10606,0,0,36,19
10605,18,1,101,118
10604,16,1,56,14
10603,11,0,81,91
10602,8,24,81,112
10601,0,0,72,16
10600,12,19,40,1
10599,1,3,61,64
10598,10,16,105,130
10597,23,11,56,23
10596,3,1,64,67
10595,0,6,78,1
10594,42,22,50,113
10593,5,5,53,32
10592,9,7,61,2
10591,3,3,85,90
10590,1,8,67,1
10588,12,8,124,44
10587,1,4,26,1
10586,1,4,26,1
10585,0,7,80,1
10584,0,9,76,1
10583,1,9,76,1
10582,8,9,50,66
10581,0,12,66,77
10580,32,28,58,117
10579,28,24,58,109
10578,33,35,40,41
10577,50,4,54,107
10576,15,15,50,1
10575,29,12,107,12
10574,71,0,60,119
10573,48,48,96,95
10572,13,2,100,114
10571,20,0,60,1
10570,0,0,58,48
10569,0,0,52,23
10568,58,0,134,58
10567,4,0,72,1
10566,1,5,153,158
10565,1,1,100,101
10564,2,3,67,71
10563,3,1,53,56
10562,3,11,98,111
10561,29,22,56,1
10560,5,18,99,12
10559,9,7,33,48
10558,9,8,24,21
10557,4,1,1,3
10556,12,20,70,101
10555,16,13,77,105
10554,16,16,65,1
10553,0,58,72,72
10552,14,60,10,83
10551,14,13,55,81
10550,31,3,31,7
10549,0,0,59,58
10548,10,107,12,128
10547,3,34,53,2
10546,0,19,47,1
10545,0,27,83,39
10544,22,0,39,11
10543,30,29,27,12
10542,6,4,91,20
10541,58,51,49,157
10540,49,0,74,50
10539,14,96,14,120
10538,12,16,65,45
10537,4,23,88,114
10536,19,46,42,1
10535,10,26,72,1
10534,32,52,71,154
10533,9,75,4,39
10532,7,8,66,32
10531,6,0,31,7
10530,14,14,22,14
10529,13,27,89,128
10528,34,5,5,1
10527,29,4,159,10
10526,33,11,7,4
10525,1,17,44,18
10524,6,55,7,43
10523,8,0,37,8
10521,4,0,48,51
10520,8,8,64,79
10519,16,0,104,16
10518,5,19,168,191
10517,0,5,63,67
10516,30,1,141,170
10515,0,4,92,71
10514,23,55,95,171
10513,21,28,69,117
10512,3,0,41,43
10511,4,1,41,25
10510,14,17,85,115
10509,0,0,144,143
10508,10,1,67,1
10507,9,86,58,23
10506,16,16,56,87
10505,5,8,52,64
10504,3,21,28,2
10503,6,7,94,1
10502,5,8,85,96
10501,7,10,66,19
10500,14,21,78,71
10499,1,0,5,3
10498,0,32,63,1
10497,8,24,94,125
10496,18,8,115,15
10495,5,6,113,123
10494,38,12,89,138
10492,9,2,57,6
10491,0,97,4,47
10490,15,39,45,15
10489,0,7,4,4
10488,0,7,45,51
10487,3,3,46,51
10486,0,0,59,23
10485,18,17,49,83
10484,45,11,71,70
10483,49,10,76,48
10481,0,0,111,33
10480,0,0,192,36
10479,36,0,40,1
10478,26,11,19,1
10477,48,43,3,20
10476,69,0,67,135
10475,2,1,46,2
10474,6,7,61,1
10473,7,2,42,1
10472,12,0,69,2
10471,15,0,45,15
10470,6,0,73,1
10469,6,0,84,1
10468,42,0,97,137
10467,4,2,18,23
10466,124,3,20,145
10465,3,0,25,10
10464,0,0,74,11
10463,0,63,1,20
10462,6,15,70,12
10461,51,72,69,94
